Illuminated Writing 1,"1.5"" 4""",1975,Mix Media,75,Abstract and Fantasy,,358,,,
C1,"11"" x 14""",2016,Acrylic,400,Abstract and Fantasy,,,,,
Fairies,"11"" x 14""",2009,Watercolor on paper,400,Abstract and Fantasy,,,,,
On the Edge of a Pond,"11"" x 14""",2019,Acrylic,400,Abstract and Fantasy,,,,,
The Source,"11"" x 14""",2015,Acrylic,400,Abstract and Fantasy,,,,,
Clay Print 2,"11"" x 14"" mat",2008,Clay,75,Abstract and Fantasy,,,,,
Clay Print 3,"11"" x 14"" mat",2008,Clay,75,Abstract and Fantasy,,,,,
Clay Print with Felting,"11"" x 14"" mat",2008,Clay and Wool,75,Abstract and Fantasy,,,,,
Consumer's Web,"12"" x 16""",2020,Acrylic,500,Abstract and Fantasy,,,,,
Nature's Bath,"18"" x 24"" mat",2009,Pastels,800,Abstract and Fantasy,,,,,
Atwood and Silverman Collaborative,"29"" x 42""",2014,Acrylic,1000,Abstract and Fantasy,,,,,
Illuminated Writing 7,"3"" X 6.5",1975,Mix Media,90,Abstract and Fantasy,,364,,,
Illuminated Writing 8,"3"" x 6.5""",1975,Mix Media,90,Abstract and Fantasy,,365,,,
Illuminated Writing 9,"3"" x 6.5""",1975,Mix Media,90,Abstract and Fantasy,,366,,,
Intersection postcard AIR,"5"" x 7""",2010,Mixmedia,sold,Abstract and Fantasy,,,,,
Beach Sunset,"8"" x 10""",2019,Acrylic,250,Abstract and Fantasy,,,,,
Day of the Dead Freda Portrait,"8"" x 10""",2016,Acrylic,250,Abstract and Fantasy,,,,,
Earth Meets Sky,"8"" x 10""",,Acrylic,250,Abstract and Fantasy,,,,,
Illuminated Writing 2,"8"" x 10"" mat",1977,Mixmedia,50,Abstract and Fantasy,,370,,,
Illuminated Writing 3,"8"" x 10"" mat",1977,Mixmedia,50,Abstract and Fantasy,,360,,,
Illuminated Writing 4,"8"" x 10"" mat",1977,Mixmedia,50,Abstract and Fantasy,,361,,,
Illuminated Writing 5,"8"" x 10"" mat",1977,Mixmedia,50,Abstract and Fantasy,,362,,,
Illuminated Writing 6,"8"" x 10"" mat",1977,Mixmedia,50,Abstract and Fantasy,,363,,,
Day of the Dead,"8"" x 12""",2008,Oil,,Abstract and Fantasy,,,,,
Abstract Forest Path,"11"" x 14""",2019,Acrylic and paper,400,Acrylic Collage,,,,,
Ducks in Salt Marsh,"20"" x 20""",2019,Acrylic and paper,1000,Acrylic Collage,,,,,
Pierced Sun,"20"" x 20""",2019,Acrylic and paper,1000,Acrylic Collage,,,,,
Winter Deer,"20"" x 20""",2019,Acrylic and paper,1000,Acrylic Collage,,,,,
Woodland Stream,"20"" x 20""",2019,Acrylic and paper,1000,Acrylic Collage,,,,,
Garden Path,"8"" x 10""",2019,Acrylic and paper,250,Acrylic Collage,,,,,
Spirit of a Cat,"10"" x 8""",2001,Acrylic,250,Animals,,,,,
Squirrel   ,"10"" x 8""",2011,Acrylic,50,Animals,,,,,
Bear,"10"" x 8"" mat",2011,Acrylic,50,Animals,,,,,
Boomer,"10"" x 8"" mat",2011,Watercolor,90,Animals,,,,,
Boomer 2,"10"" x 8"" mat",2011,Watercolor,90,Animals,,,,,
Cat,"10"" x 8"" mat",2011,Acrylic,50,Animals,,,,,
Cats,"10"" x 8"" mat",2011,Acrylic,50,Animals,,,,,
Chipmunks,"10"" x 8"" mat",2011,Acrylic,50,Animals,,,,,
Chipmunks 2,"10"" x 8"" mat",2011,Acrylic,50,Animals,,,,,
Deer,"10"" x 8"" mat",2011,Acrylic,50,Animals,,,,,
Deer at Sunset,"10"" x 8"" mat",2011,Watercolor on paper,250,Animals,,,,,
Deer in the Woods,"10"" x 8"" mat",2012,Pastels,250,Animals,,,,,
Dogs,"10"" x 8"" mat",2011,Acrylic,50,Animals,,,,,
